Master Builder Academy,[0303eccc-899f-4906-a312-3982b48bd44e]
   ,[5535f29b-7df0-4f06-8959-47cf9c897a0e]
      20217,[Action Designer]
      20216,[Robot &amp; Micro Designer]
      20215,[Invention Designer]
      20214,[Adventure Designer]
      20209,[Time Machine]
      20210,[World Architecture]
      20211,[Inventor&#39;s Lab]
      20200,[Space Designer]
      20201,[Micro-Scale]
      20202,[Robots]
      20203,[Airplanes ]
      20204,[Creature Designer]
      20205,[Auto Designer]
      20206,[The Lost Village]
      20207,[The Forbidden Bridge]
      20208,[The Dark Lair]
Bulk Bricks,[0641ec85-2545-4a07-b752-2a1c4e6c4f4b]
   Technic,[2ff6d30c-3e7b-4156-b66c-4d35a8331a81]
      10072,[Technic Beams]
      10073,[Technic Bushes]
      10074,[Technic Cross Axles]
      10076,[Technic Gear Wheels]
      10077,[Technic Motor]
   ,[72db271c-4a84-4a30-b6c2-ed6f17cb6f7f]
      10007,[2x4 Sand Red Ridge Roof Tiles, Steep Sloped]
      10145,[Assorted Light Grey Bricks]
      10146,[Assorted Dark Grey Bricks]
      10147,[Assorted Brown Bricks]
      10148,[Assorted Light Grey Plates]
      10149,[Assorted Dark Grey Plates]
      10150,[Assorted Brown Plates]
      10008,[2x4 Sand Red Roof Bricks]
      10160,[Black Ridge Tiles]
      10161,[Black Roof Tiles]
      10162,[Red Ridge Tiles]
      10163,[Red Roof Tiles]
      10009,[Assorted Blue Bricks]
      10010,[Assorted Yellow Bricks]
      10011,[Assorted Blue Plates]
      10012,[Assorted Yellow Plates]
      3444,[2x4 Ridge Roof Tiles Steep Sloped Black]
      3445,[2x4 Ridge Roof Tiles Steep Sloped Red]
      3446,[2x2 Window White]
      3447,[1x3x4 Wall Element Transparent Blue]
      3448,[1x4x5 Black Window Frames with Clear Panes]
      3449,[1x4x6 Black Door and Frames with Transparent Blue Panes]
      3453,[2x2 Black Bricks]
      3454,[2x2 Light Grey Bricks]
      3455,[2x2 White Bricks]
      3456,[2x2 Dark Green Bricks]
